X,Y,V,U,T
231,239,354.1,478.0,waste
230,221,602.4,538.9,waste
240,239,172.6,51.9,waste
221,241,324.8,290.9,waste
239,220,420.1,398.3,waste
218,218,763.5,1236.7,waste
35,71,687.8,486.8,waste
24,71,735.8,463.9,waste
34,88,86.9,0.1,waste
23,91,817.0,708.8,waste
54,10,637.9,349.4,waste
46,11,512.3,392.0,waste
55,89,423.4,21.2,waste
45,89,569.6,62.8,waste
53,150,858.0,873.0,waste
46,148,234.0,7.5,waste
55,168,876.0,288.1,waste
43,170,1082.8,1174.9,waste
55,191,1392.6,1004.7,waste
44,191,646.6,76.8,waste
55,211,889.5,938.8,waste
46,211,509.2,429.7,waste
54,269,613.1,2922.4,waste
43,271,767.8,198.1,waste
73,29,649.4,231.7,waste
64,31,235.4,10.8,waste
75,129,782.8,639.3,waste
64,129,227.3,8.6,waste
73,149,722.9,696.1,waste
64,151,974.5,664.1,waste
75,171,512.2,144.8,waste
63,168,1215.8,1446.1,waste
73,188,687.1,2351.5,waste
64,191,1259.9,1257.6,waste
93,48,687.5,373.2,waste
86,48,471.9,31.8,waste
93,70,512.1,196.1,waste
84,69,963.9,1210.0,waste
93,90,874.0,1031.3,waste
86,89,582.4,117.0,waste
96,111,553.2,360.5,waste
85,108,937.3,1495.5,waste
93,131,883.6,1336.8,waste
86,131,879.9,965.3,waste
114,131,268.4,104.4,waste
106,130,651.5,1957.7,waste
155,229,386.4,88.2,waste
145,230,333.2,63.5,waste
174,208,339.2,335.0,waste
166,211,600.3,647.6,waste
215,89,595.2,1457.0,waste
205,89,809.6,955.8,waste
215,148,293.3,67.7,waste
204,151,697.3,444.5,waste
236,9,515.9,1593.8,waste
223,9,613.2,277.6,waste
236,229,665.3,1962.0,waste
226,230,813.6,2279.8,waste
35,80,174.8,2.0,waste
24,79,891.8,635.7,waste
36,61,699.6,1547.8,waste
26,58,39.5,0.3,waste
16,80,915.6,634.8,waste
43,60,584.0,97.4,waste
15,88,610.0,319.3,waste
46,99,566.8,100.2,waste
36,99,38.1,0.0,waste
54,80,483.0,105.0,waste
46,81,542.6,138.6,waste
54,161,959.3,466.7,waste
43,161,631.9,261.1,waste
65,160,928.3,2252.5,waste
33,160,431.0,48.6,waste
36,170,672.3,605.5,waste
53,179,1003.4,425.4,waste
44,180,876.4,937.8,waste
65,181,734.1,589.3,waste
34,180,366.0,110.2,waste
33,191,296.5,79.1,waste
55,199,1069.2,376.4,waste
46,198,804.3,674.6,waste
63,201,731.1,1363.3,waste
34,201,318.1,79.6,waste
65,210,238.6,488.3,waste
35,208,428.9,161.2,waste
46,220,734.4,1236.1,waste
36,219,429.1,152.3,waste
35,217,597.4,397.0,waste
53,258,442.6,1696.4,waste
46,260,765.2,779.8,waste
45,281,605.5,934.8,waste
35,278,795.9,1588.3,waste
35,259,235.0,18.9,waste
84,30,562.0,85.3,waste
84,41,411.4,34.0,waste
75,40,696.7,356.2,waste
73,141,790.9,607.3,waste
63,140,696.5,357.8,waste
84,138,687.3,893.4,waste
76,159,597.5,997.3,waste
84,161,437.4,387.2,waste
86,169,317.4,761.7,waste
73,199,470.7,5190.1,waste
76,51,498.7,101.8,waste
94,61,778.7,1354.0,waste
85,60,523.3,117.5,waste
104,38,617.1,200.2,waste
93,41,395.5,28.4,waste
75,90,518.9,113.0,waste
94,101,383.7,12.9,waste
85,100,704.1,126.0,waste
104,109,562.3,908.6,waste
75,110,655.3,349.0,waste
95,121,823.6,548.4,waste
83,119,847.7,701.4,waste
94,140,607.5,723.2,waste
103,139,491.2,565.3,waste
114,120,319.5,154.2,waste
104,118,594.0,289.2,waste
196,91,433.5,254.1,waste
215,101,209.6,4.0,waste
204,101,533.8,127.3,waste
196,101,592.4,419.4,waste
195,149,478.7,141.9,waste
216,11,660.2,1424.8,waste
225,19,832.2,512.2,waste
214,19,242.5,15.6,waste
245,231,161.2,26.1,waste
233,220,626.0,959.7,waste
226,221,800.1,1681.5,waste
213,218,482.6,476.2,waste
